ATTIVITA,ASSOCIAZIONE,INDIRIZZO,CITTA,EMAIL
Ambiente,"LEGAMBIENTE CIRCOLO ""ROBERTO GIUSSANI","ROMA, 29",Desio,legambientedesio@libero.it
"Approfondimento questioni civili, etiche e religiose","CENTRO CULTURALE ""G. LAZZATI","FERMI, 30",Desio,gio.riboldi@tiscali.it
Arte,AMICI DEL MUSEO SCALVINI,"BRAMBILLA, 7",Desio,cristiano.plicato@libero.it
Arte,DIPINGERE INSIEME,"PARTIGIANI, 20",Desio,carlinac44@gmail.com
Arte,GRUPPO ARTISTICO DESIANO,"VOLTA, 98",Desio,catto.monica@gmail.com
Arti terapie e discipline mente e corpo,LA PORTA SOCCHIUSA,"LAMPUGNANI, 69",Desio,info@laportasocchiusa.org
Cultura e tradizioni,"CALABRESI E GRECANICI DI CALABRIA ""NICOLA ARGIROPULO","PALLAVICINI, 122",Desio,luigi.sclapari@live.it
Cultura e tradizioni locali,CONTRADA DUGANA,"SANTA LIBERATA, 10",Desio,mario.cortese48@gmail.com
Cultura e tradizioni locali,PALIO DEGLI ZOCCOLI,"PIO XI, 27",Desio,paliodeglizoccoli@gmail.com
Fotografia,CIRCOLO FOTOGRAFICO DESIANO,"GRAMSCI,  12/A",Desio,info@cfdesiano.org
Micologia,"ASSOCIAZIONE MICOLOGICA ""G. BRESADOLA","PARTIGIANI, 14",Desio,ambdesio@hotmail.com
Multiculturalità,CENTRO MINHAI-UL-QURAN,"FORLANINI, 36",Desio,almasi1960@yahoo.com
Multiculturalità,DESIO CITTA' APERTA,"DON MILANI, 2",Desio,desiocittaperta@gmail.com
Musica,AMICI DELLA MUSICA,"SFORZA, 3",Desio,marco.mologni@gmail.com
Musica,CORO SING A SONG,"I MAGGIO, 2",Desio,rossini_patrizia@yahoo.it
Musica,CORO SANTUARIO DEL CROCIFISSO,"MASCAGNI, 56",Desio,annalisa.chinaglia66@gmail.com
Musica,CORO CITTA' DI DESIO,"STADIO, 14",Desio,info@corocittadidesio.it
Musica,CORPO MUSICALE PIO XI CITTA' DI DESIO,"CONCILIAZIONE, 2",Desio,burgio.gio@libero.it
Musica,LO SPECCHIO SONORO,"BRAMANTE, 15",Desio,lospecchiosonoro@gmail.com
Musica,CORALE S. PIO X,"GARIBALDI, 288",Desio,c.marulli@alice.it
Musica della tradizione alpina,CORO A.N.A. NIKOLAJEWKA,"GALENO, 45",Desio,coronikolajewka@gmail.com
Promozione attività musicale campanara,"GRUPPO CAMPANARI ""TOCCHI E RINTOCCHI"" S. GIOVANNI BATTISTA","KOLBE, 7",Desio,luciomazzolini2@gmail.com
Promozione delle tradizioni della storia della città di Desio e del suo territorio,PRO LOCO DESIO,"VOLTA, 37",Desio,prolocodesio@gmail.com
"Riscoperta, valorizzazione difesa delle tradizioni della città di Desio e del suo territorio",CIRCOLO CULTURALE PRO DESIO,"AGNESI, 91",Desio,marni1908@hotmail.it
Studio e divulgazione dell'opera di Papa Ratti,AMICI DELLA CASA NATALE PIO XI,"PIO XI, 4",Desio,c.lazzarotto@tiscali.it
Teatro,ARDEN LUOGO DEL POSSIBILE APS,"BALLERIO, 19",Desio,info@ardenspazio33.it
Teatro,"GRUPPO TEATRO ""SONIA BONACINA","PUCCINI, 7",Desio,martina1.cesana@gmail.com
Teatro,TEATRANDO,"LISSONI, 6",Desio,info@teatrando.net
