ASSOCIAZIONE,INDIRIZZO,CITTA,EMAIL
A.V.O. VOLONTARI OSPEDALIERI,"Mazzini, 1",Desio,ortalli.alberto@libero.it; avo.desio@virgilio.it
GRUPPO SOLIDARIETA' STRANIERI DESIO (G.S.S.D),Via Gramsci (Municipio),Desio,gssdesio@hotmail.com
REGALA UN SORRISO,"Garibaldi, 6",Desio,sergio.galbiati@fastwebnet.it
UGAF EX AUTOBIANCHI,"Edera, 24",Desio,ugaf45.exautobianchi@alice.it
ANDOS DESIO ONLUS,"Garibaldi, 81",Desio,andosdesio@email.it
ARCA DI NOE' ONLUS,"Trieste, 10",Desio,larcadinoe.onlus@libero.it
AVIS DESIO,"Gramsci,18",Desio,avisdesio@hotmail.it
SCUOLA DI ITALIANO PER STRANIERI,"Conciliazione, 15",Desio,abrugora@yahoo.it; scuola.italiano.desio@gmail.com
FORUM PER I DIRITTI DEI BAMBINI DI CHERNOBYL,"Galeno, 35",Desio,daniela.seregni@virgilio.it; r.malberti@libero.it
FRONTE DEL PORTO,"Gramsci, 12",Desio,frontedelportodesio@tiscali.it
CASA DI MAMRE ONLUS,"Conciliazione, 15",Desio,cdabasilica@alice.it
ARCA ONLUS,"Garibaldi, 81",Desio,associazione.arcaonlus@gmail.com
AIDO,"Gramsci, 18",Desio,desio@aido.it
ANMIL,Via Gramsci  (Municipio),Desio,arientiaugusto@fastwebnet.it
LIONS CLUB DESIO,"Matteotti, 15",Desio,desio.segretario16.17@gmail.com
AUTO AMICA,Corso Italia 66,Desio,autoamicassociazione@libero.it
