ATTIVITA,ASSOCIAZIONE,INDIRIZZO,CITTA,EMAIL
arti marziali,S.T.K. DESIO,"Garibaldi,99",Desio,bragaw@etipack.it
arti marziali,VO KINH DAO,"Stadio, 13",Desio,vokinhdao@gmail.com
arti marziali,KANKU DAI CLUB KARATE,"Manzoni, 71",Desio,robycol@gmail.com
arti marziali,JUDO KODOCAN DESIO,"Solferino, 4",Desio,teodorodeieso@yahoo.it
arti marziali,CENTRO SPORTIVO KARATE DESIO,"Volta, 8",Desio,redwolf1975@libero.it
arti marziali,KUNG FU XIN DAO,"Parini, 16",Desio,xindaodesio@gmail.com
arti marziali,ASD THAT LONG ITALIA,"S. Apollinare, 10",Desio,thatlong@tiscali.it
arti marziali,NINTAJ BRIANZA,"Dolomiti, 39",Desio,adriano.pazienza@nintaibrianza.com
atletica leggera,ATLETICA DESIO,"Artigiani,31",Desio,diego.vismara@fastwebnet.it
attività motoria,ASD MARI'S TEAM,"Martiri delle Foibe, 11",Desio,marika_N75@libero.it
ballo,ASD B FOR DANCE,"Di Vittorio, 24",Desio,b4dance@libero.it
ballo,GOLD STAR,"Oslavia, 21",Desio,antoniorei@tiscali.it
ballo,ACCADEMIA DEL BALLO,"Capuana, 15",Desio,accademiachisci@libero.it
ballo,VIRTUAL DANCE PROJECT,"Per Seregno, 6",Desio,virtualdanceproject@gmail.com
basket,PALLACANESTRO AURORA DESIO,"S. Pietro, 15",Desio,auroradesio@libero.it
bocce,ASD BOCCIOFILA PARCO,"F.lli Cervi, 40",Desio,mellon.vb@alice.it
bocce,GRUPPO BOCCIOFILO AURORA DESIO,"Garibaldi, 257",Desio,cirillorusso@libero.it
calcetto - calcio,GRUPPO SPORTIVO ASSOSPORT,"Lombardia, 3",Desio,francob@studiobarbirato.com
calcio,AC DESIO,"Matilde Serao, 1",Desio,acdesio@virgilio.it
calcio,U.S. AURORA DESIO CALCIO 1922,"Garibaldi, 257",Desio,aurora.desio.1922@gmail.com
calcio,ASD VECCHIA DESIO,"Cadorna, 9",Desio,antonio_zecchin@hotmail.com
calcio,GRUPPO SPORTIVO S. GIORGIO,"S. Apollinare, 4",Desio,stefano.tomasella70@gmail.com
ciclismo,AURORA DESIO CICLISMO,"Garibaldi, 257",Desio,danielebrugora@alice.it
football americano,ASD HAMMERS,"Via Fiume, 25",Desio,info@hammersaft.com
ginnastica e attività motoria,S.I.R.E. ENTE NO PROFIT,Lombardia 3,Desio,associazione.sire@libero.it
ginnastica per disabili,ASD SOGNASPORT,"Tintoretto, 28",Desio,simone.scrubs48@gmail.com
ginnastica ritmica,ASD GINNASTICA S. GIORGIO 79,"Garibaldi, 257",Desio,ginnastica@sangiorgiodata.it
giochi di carte,ASD EL BURACO DESIO,"S. Pietro,14",Desio,asdelburaco@gmail.com
mini volley,CENTRO SPORTIVO DESIANO,"Conciliazione, 15",Desio,centrosportivodesiano@virgilio.it
nuoto,SSD TEAM LOMBARDIA NUOTO M.G.M. SPORT,"Serao, 63",Desio,veronica@mgmsport.it
pallavolo,ASD DESIO VOLLEY BRIANZA,"Lombardia, 3",Desio,desiovolleybrianza@libero.it
pallavolo,ASD EASY VOLLEY DESIO,"Milano, 345",Desio,easyvolleydesio@libero.it
pallavolo,GRUPPO SPORTIVO S. PIO X,"Garibaldi, 288",Desio,helpi@libero.it
pallavolo,GRUPPO SPORTIVO ORATORIO S.S. PIETRO E PAOLO,"S. Caterina, 9",Desio,dottormaroni@gmail.com
paracadutismo,ASSOCIAZIONE NAZIONALE PARACADUTISTI D'ITALIA,"Lampugnani,80",Desio,paracadutistidesio@gmail.com
pattinaggio sul ghiaccio,ASD CLUB DEL GHIACCIO,Agnesi (c/o Centro Sportivo Comunale),Desio,info@clubdelghiaccio.com
podismo,ASD RUNNERS DESIO,"Grandi, 30",Desio,max@runnersdesio.it
podismo,GRUPPO MARCIATORI DESIO,"Garibaldi, 257",Desio,info.marciatoridesio@gmail.com
podismo,GRUPPO SPORTIVO S. GIUSEPPE,"Resegone, 52",Desio,luigivalenti@live.it
podismo,GRUPPO SPORTIVO S. FRANCESCO,"Giusti, 1",Desio,gssf@live.it
scherma,A.S. SCHERMA DESIO,S. Caterina,Desio,segreteria@schermadesio.com
tennis,ASD TENNIS DESIO,"Lombardia, 3",Desio,cscdesio@gmail.com
tiro con carabina,ASD AIRSHOOTING,Agnesi (c/o Centro Sportivo Comunale),Desio,airshooting@gmail.com
tiro con l'arco,ASD AR.CO MONZA,"Filippo da Desio, 8",Desio,arcomonza@gmail.com
